
starting calculations for phase 1
-0.4000000000, 1.0000000000, Maximum iterations reached in field optimization, time: 5
-0.3900000000, 1.0000000000, Maximum iterations reached in field optimization, time: 17
-0.3800000000, 1.0000000000, Maximum iterations reached in field optimization, time: 5
-0.3700000000, 1.0000000000, Maximum iterations reached in field optimization, time: 8
-0.3600000000, 1.0000000000, Maximum iterations reached in field optimization, time: 7
-0.3500000000, 1.0000000000, Maximum iterations reached in field optimization, time: 7
-0.3400000000, 1.0000000000, Maximum iterations reached in field optimization, time: 10
-0.3300000000, 1.0000000000, Maximum iterations reached in field optimization, time: 5
-0.3200000000, 1.0000000000, Maximum iterations reached in field optimization, time: 4
-0.3100000000, 1.0000000000, Maximum iterations reached in field optimization, time: 4
-0.3000000000, 1.0000000000, maximum iterations reached, time: 31
-0.2900000000, 1.0000000000, maximum iterations reached, time: 23
-0.2800000000, 1.0000000000, maximum iterations reached, time: 17
-0.2700000000, 1.0000000000, -0.1157815616, 10, time: 1
-0.2600000000, 1.0000000000, -0.1077138848, 4, time: 0
-0.2500000000, 1.0000000000, -0.0999191795, 4, time: 0
-0.2400000000, 1.0000000000, -0.0923989507, 4, time: 0
-0.2300000000, 1.0000000000, -0.0851547793, 4, time: 0
-0.2200000000, 1.0000000000, -0.0781883328, 4, time: 0
-0.2100000000, 1.0000000000, -0.0715013431, 4, time: 0
-0.2000000000, 1.0000000000, -0.0650956410, 4, time: 0
-0.1900000000, 1.0000000000, -0.0589731402, 4, time: 0
-0.1800000000, 1.0000000000, -0.0531358619, 4, time: 0
-0.1700000000, 1.0000000000, -0.0475859313, 4, time: 0
-0.1600000000, 1.0000000000, -0.0423255851, 4, time: 0
-0.1500000000, 1.0000000000, -0.0373571765, 4, time: 0
-0.1400000000, 1.0000000000, -0.0326832101, 4, time: 0
-0.1300000000, 1.0000000000, -0.0283063179, 4, time: 0
-0.1200000000, 1.0000000000, -0.0242292916, 4, time: 0
-0.1100000000, 1.0000000000, -0.0204550953, 4, time: 0
-0.1000000000, 1.0000000000, -0.0169868717, 3, time: 0
-0.0900000000, 1.0000000000, -0.0138279686, 4, time: 0
-0.0800000000, 1.0000000000, -0.0109819522, 3, time: 0
-0.0700000000, 1.0000000000, -0.0084526336, 3, time: 0
-0.0600000000, 1.0000000000, -0.0062440943, 3, time: 0
-0.0500000000, 1.0000000000, -0.0043607148, 3, time: 0
-0.0400000000, 1.0000000000, -0.0028071971, 3, time: 0
-0.0300000000, 1.0000000000, -0.0015886259, 3, time: 0
-0.0200000000, 1.0000000000, -0.0007104962, 3, time: 0
-0.0100000000, 1.0000000000, -0.0001787845, 3, time: 0
0.0000000000, 1.0000000000, 0.0000000106, 2, time: 0

starting calculations for phase 3
-0.4000000000, 1.0000000000, -0.4335130680, 5, time: 3
-0.3900000000, 1.0000000000, -0.4200344069, 3, time: 0
-0.3800000000, 1.0000000000, -0.4067534165, 3, time: 0
-0.3700000000, 1.0000000000, -0.3936699677, 2, time: 0
-0.3600000000, 1.0000000000, -0.3807839397, 2, time: 0
-0.3500000000, 1.0000000000, -0.3680952196, 3, time: 0
-0.3400000000, 1.0000000000, -0.3556037053, 2, time: 0
-0.3300000000, 1.0000000000, -0.3433093005, 4, time: 0
-0.3200000000, 1.0000000000, -0.3312119270, 3, time: 0
-0.3100000000, 1.0000000000, -0.3193115122, 2, time: 0
-0.3000000000, 1.0000000000, -0.3076079930, 3, time: 0
-0.2900000000, 1.0000000000, -0.2961013297, 2, time: 0
-0.2800000000, 1.0000000000, -0.2847914876, 2, time: 0
-0.2700000000, 1.0000000000, -0.2736784510, 2, time: 0
-0.2600000000, 1.0000000000, -0.2627622193, 2, time: 0
-0.2500000000, 1.0000000000, -0.2520428116, 3, time: 0
