
starting calculations for phase 1
-0.4000000000, 1.0000000000, Maximum iterations reached in field optimization, time: 14
-0.3900000000, 1.0000000000, Maximum iterations reached in field optimization, time: 22
-0.3800000000, 1.0000000000, Maximum iterations reached in field optimization, time: 12
-0.3700000000, 1.0000000000, Maximum iterations reached in field optimization, time: 23
-0.3600000000, 1.0000000000, Maximum iterations reached in field optimization, time: 19
-0.3500000000, 1.0000000000, Maximum iterations reached in field optimization, time: 7
-0.3400000000, 1.0000000000, Maximum iterations reached in field optimization, time: 16
-0.3300000000, 1.0000000000, Maximum iterations reached in field optimization, time: 5
-0.3200000000, 1.0000000000, Maximum iterations reached in field optimization, time: 4
-0.3100000000, 1.0000000000, Maximum iterations reached in field optimization, time: 4
-0.3000000000, 1.0000000000, maximum iterations reached, time: 37
-0.2900000000, 1.0000000000, maximum iterations reached, time: 30
-0.2800000000, 1.0000000000, -0.1239774587, 23, time: 5
-0.2700000000, 1.0000000000, -0.1156515818, 4, time: 0
-0.2600000000, 1.0000000000, -0.1075965518, 4, time: 0
-0.2500000000, 1.0000000000, -0.0998138077, 4, time: 0
-0.2400000000, 1.0000000000, -0.0923048519, 4, time: 0
-0.2300000000, 1.0000000000, -0.0850712702, 4, time: 0
-0.2200000000, 1.0000000000, -0.0781147172, 4, time: 0
-0.2100000000, 1.0000000000, -0.0714369293, 4, time: 0
-0.2000000000, 1.0000000000, -0.0650397374, 4, time: 0
-0.1900000000, 1.0000000000, -0.0589250647, 4, time: 0
-0.1800000000, 1.0000000000, -0.0530949345, 4, time: 0
-0.1700000000, 1.0000000000, -0.0475514830, 4, time: 0
-0.1600000000, 1.0000000000, -0.0422969593, 4, time: 0
-0.1500000000, 1.0000000000, -0.0373337341, 4, time: 0
-0.1400000000, 1.0000000000, -0.0326643331, 4, time: 0
-0.1300000000, 1.0000000000, -0.0282914017, 3, time: 0
-0.1200000000, 1.0000000000, -0.0242177704, 4, time: 0
-0.1100000000, 1.0000000000, -0.0204464283, 4, time: 0
-0.1000000000, 1.0000000000, -0.0169805569, 3, time: 0
-0.0900000000, 1.0000000000, -0.0138235422, 3, time: 0
-0.0800000000, 1.0000000000, -0.0109790025, 3, time: 0
-0.0700000000, 1.0000000000, -0.0084507755, 3, time: 0
-0.0600000000, 1.0000000000, -0.0062430186, 3, time: 0
-0.0500000000, 1.0000000000, -0.0043601564, 3, time: 0
-0.0400000000, 1.0000000000, -0.0028069510, 3, time: 0
-0.0300000000, 1.0000000000, -0.0015885418, 3, time: 0
-0.0200000000, 1.0000000000, -0.0007104783, 3, time: 0
-0.0100000000, 1.0000000000, -0.0001787829, 3, time: 0
0.0000000000, 1.0000000000, 0.0000000106, 2, time: 0

starting calculations for phase 3
-0.4000000000, 1.0000000000, -0.4335036711, 5, time: 5
-0.3900000000, 1.0000000000, -0.4200253042, 2, time: 0
-0.3800000000, 1.0000000000, -0.4067445928, 4, time: 0
-0.3700000000, 1.0000000000, -0.3936614053, 3, time: 0
-0.3600000000, 1.0000000000, -0.3807756228, 3, time: 0
-0.3500000000, 1.0000000000, -0.3680871330, 4, time: 0
-0.3400000000, 1.0000000000, -0.3555958349, 3, time: 0
-0.3300000000, 1.0000000000, -0.3433016333, 3, time: 0
-0.3200000000, 1.0000000000, -0.3312044489, 2, time: 0
-0.3100000000, 1.0000000000, -0.3193042089, 2, time: 0
-0.3000000000, 1.0000000000, -0.3076008552, 4, time: 0
-0.2900000000, 1.0000000000, -0.2960943422, 2, time: 0
-0.2800000000, 1.0000000000, -0.2847846388, 3, time: 0
-0.2700000000, 1.0000000000, -0.2736717326, 2, time: 0
-0.2600000000, 1.0000000000, -0.2627556210, 2, time: 0
-0.2500000000, 1.0000000000, -0.2520363223, 3, time: 0
-0.2400000000, 1.0000000000, -0.2415138814, 2, time: 0
-0.2300000000, 1.0000000000, -0.2311883511, 2, time: 0
-0.2200000000, 1.0000000000, -0.2210598186, 3, time: 0
-0.2100000000, 1.0000000000, -0.2111283900, 2, time: 0
-0.2000000000, 1.0000000000, -0.2013942016, 2, time: 0
-0.1900000000, 1.0000000000, -0.1918574207, 3, time: 0
-0.1800000000, 1.0000000000, -0.1825182387, 5, time: 0
-0.1700000000, 1.0000000000, -0.1733768957, 4, time: 0
-0.1600000000, 1.0000000000, -0.1644336590, 4, time: 0
-0.1500000000, 1.0000000000, -0.1556888459, 5, time: 0
-0.1400000000, 1.0000000000, -0.1471428202, 3, time: 0
-0.1300000000, 1.0000000000, -0.1387959938, 3, time: 0
-0.1200000000, 1.0000000000, -0.1306488394, 2, time: 0
-0.1100000000, 1.0000000000, -0.1227018974, 2, time: 0
-0.1000000000, 1.0000000000, -0.1149557752, 4, time: 0
-0.0900000000, 1.0000000000, -0.1074111578, 3, time: 0
-0.0800000000, 1.0000000000, -0.1000688296, 3, time: 0
-0.0700000000, 1.0000000000, -0.0929296682, 3, time: 0
-0.0600000000, 1.0000000000, -0.0859946717, 3, time: 0
-0.0500000000, 1.0000000000, -0.0792649676, 3, time: 0
-0.0400000000, 1.0000000000, -0.0727418351, 3, time: 0
-0.0300000000, 1.0000000000, -0.0664267268, 3, time: 0
-0.0200000000, 1.0000000000, -0.0603212992, 3, time: 0
-0.0100000000, 1.0000000000, -0.0544274446, 3, time: 0
0.0000000000, 1.0000000000, -0.0487473362, 3, time: 0
0.0100000000, 1.0000000000, -0.0432834827, 2, time: 0
0.0200000000, 1.0000000000, -0.0380388026, 3, time: 0
0.0300000000, 1.0000000000, -0.0330167069, 2, time: 0
0.0400000000, 1.0000000000, -0.0282212406, 3, time: 0
0.0500000000, 1.0000000000, -0.0236572304, 2, time: 0
0.0600000000, 1.0000000000, -0.0193305451, 5, time: 0
0.0700000000, 1.0000000000, -0.0152484716, 3, time: 0
